id,comment,score
271,路人都觉得莫名其妙，鹿晗演技是鹿晗演技的问题，但是这次的问题真的不在于鹿晗，剧本后期环境设定人物性格剪辑没有一样OK的，演技不用背这么大的锅，谁演也好不了哪里去。就是导演功力不够想用流量赚钱结果失败了,0.9999
272,期待郑爽女儿们的恋爱,0.9748
273,虽有遗憾，但任然感激遇见你江洋,0.9706
274,“用这一仗赢你和勋章”上海堡垒定档0809这里是上海，守护人类最后的堡垒！！,0.9866
275,上海堡垒这部影片很好看，特效是真的好，服化道是真的棒，剧情跌宕起伏，演员演技都在线。推荐大家去看，不能让我一个人花这冤枉钱。,0.9996
276,帅爆了,0.7591
277,不说别的这个导演够low的 都怪演员也是神奇！没有鹿晗，这点票房都不保,0.9971
279,鹿晗江洋,0.4932
280,好喜欢他们俩,0.8999
281,演员就该有演员的样子，中国演员的门槛太低了，啥歪瓜裂枣都能当演员,1.0
282,8月9日，不见不散呀，灰鹰小队江洋,0.297
283,粉丝要是不说话：看，鹿晗糊了吧，都没有粉丝控评了； 粉丝要敢责怪导演：看，互相甩锅，狗咬狗喽～ 你让我们怎么办？反正你们的嘴就是屁股，放臭屁是不需要到责任的,0.0028
286,一座城池之争，人类存亡之战。陆沉、毁灭；保卫、拯救。殊死一争，为生存而战。 【暑期档0809】 未来战争电影《上海堡垒》震撼来袭！,1.0
287, 哈哈哈,0.8684
288,他的特效也水的不行了，很多都是贴图。最无语的是重建后的上海和原先的上海一模一样？？？,0.2969
290,是我冲浪没有脑子吗？？？导演哪里怪鹿晗了啊,0.0646
291,郑爽,0.5
292,加油,0.9048
293,这是全世界最热血的一场末日地球保卫战，若有那一天到来，天幕坠落，世界沉沦，愿我们都还相信爱情。 【暑期档0809】 未来战争电影《上海堡垒》震撼来袭！,1.0
294,哈哈哈哈哈哈哈！,0.9751
295,我喜欢吴京的电影,0.9661
296,鹿鹿啊，你要永远开心啊,0.8223
297,"向佐是偏财格,财虽得令，比劫也不示弱,命格有中和之象,大运总体也是盖头截脚,也是中和,所以是个平安有福的格局了，人生总体顺畅。郭碧婷得令不旺，较没有安全感。杀透官藏，官杀落空,所以，总体来看,二人结缘,主要还是向佐的感情运旺相在带动, 而明后两年甲己争合,建议还是迟些结婚为宜。",0.9958
298,期待郑爽,0.666
299,啊啊啊啊啊不知道一直很喜欢的舒淇姐姐和小鹿合作会带给大噶什么惊喜！！真的超级期待！！期待舒淇姐姐！！期待小鹿！！期待不同风格的碰撞！！！！,0.9886
300, 出来挨打！,0.5
301,粉丝有在这里打嘴炮，还不如掏钱多去二刷三刷几次，让这部电影早点喜提破亿海报呢、毕竟某鹿可是有6000万粉丝的人,0.4169
302,lh 期待期待,0.7991
303,鹿晗很好,0.7413
304,坚持一个中国原则，杨幂很干脆很果敢,0.9967
305,❤,0.5
306,科幻世界，激越战争，末日爱情，强大阵容。最极致的孤独，最绝望的毁灭，逢生之处不过一句：“好好睡，晚安。”【暑期档8月9日】《上海堡垒》,1.0
307,  额呵呵呵哈哈哈哈哈哈哈哈哈,0.9982
308,意料之中，你看选了哪些角,0.8138
309,哥哥，以后不管做什么事，我们永远把健康和快乐放在第一位好不好？虽然这个想法很不成熟，可我真的不想看到你受委屈（请原谅我这么自私,1.0
310,鹿晗实惨吧,0.4243
311,支持杨幂，好样的,0.8202
312,参加了两场，反正一切只为鹿晗,0.4708
313,“你小时候喜欢在别人找不到的地方看星星，长大了也还是偷空瞅一眼夜空”✨你好，江洋。8月9日见。,0.7019
314,拍的这是一坨啥啊，退票！法克,0.118
315,我爱你啊啊啊啊啊啊,0.9832
316,导演的意思难道不是因为选了反差较大的鹿晗，让鹿晗没红起来的意思吗？而不是责怪演员吧。感觉大家都过分猜测,0.2762
317,我的关注点是郑爽真的好漂亮 ,0.9815
318,我参与了,0.75
319,啊啊啊啊啊啊期待,0.9776
320,林更新挺好的还帮忙解围,0.666
321,知道为什么会烂吗   粉丝一开始狂吹 中国科幻  现在呢  疯狂控评 路人说电影烂就骂人家收钱 黑子       说白了   上海堡垒 终究不过是一部粉丝电影    因为你们心中 除了粉丝其他都是黑子,0.7783
322,灰鹰小队江洋 你来啦,0.8309
323,球球各位了放过他吧 全网黑的还不够吗？,0.3319
324,杨幂刚! ,0.7895
325,风里雨里我们一起负重前行。,0.8809
327,说的中肯,0.5356
328,鲜肉连个头发都舍不得剪，没有军人样子！,0.2752
329,我好了我真的好了 上映前的即视感终于来了 灰鹰小队江洋冲冲冲！ ,0.9762
330,专注郑爽！期待郑爽！！,0.866
331,还有各个群自己组织的包场也很多,0.5868
332,啊啊啊啊啊啊,0.9563
333,我聪哥是真牛批，啥都不怕,0.2568
334,科幻片的市场永远是大众，要不得粉丝经济，抱着这个心，才能拍好，才有可能成功。,0.9941
335,如果世界会沉没，我们在末日相遇，还是想停下匆匆的脚步，笑着对你说一句，江洋，你好！期待0809上映的上海堡垒！,0.9996
336,导演绝对有精神病 请广电出手,0.4061
338,里面有我的一份  特别开心,0.8291
339,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,1.0
340,讨厌上这装逼的人,0.5888
341,找谁不好你找鹿晗，这不求着人家黑你吗,0.0131
342,转//,0.1747
343,导演该承担，演员也该承担，被以前的流量忽悠蒙了，以为找了流量就能骗钱的资本方更要承担，而且已经承担了，亏大了。,0.0001
344,夹缝中找自己，然后…放弃了,0.2992
345,这一仗，用一座城，换地球一线希望！,0.9808
346,呵呵呵   王思聪够真实,0.9656
347,好爱你 哥哥//,0.9707
348,這導演是不是太有自信？這部戲沒有鹿晗誰看啊？有毛病吧…,0.7266
350,马上要见到江洋哥哥了 真得好激动啊！！！,0.9711
351,刚看了一下鹿姑娘的微博，6000万的粉丝，一张十块钱的门票也有6个亿，刚看了一下我这附近的电影院，最高的是41块，最低是22块9，大部分是36块左右，就按36块算也有20几个亿呢,0.0135
352,这里是上海，最后的堡垒。  “江洋，我不打给你了。机票在我储物箱里，密码是我生日。我已经被安排任务，下午16:45，上海沉没”,0.199
353,不说再见，我们一起向前进,0.4008
354,这是全世界最热血的一场末日地球保卫战，若有那一天到来，天幕坠落，世界沉沦，愿我们都还相信爱情。 未来战争电影《上海堡垒》0809震撼上映！,1.0
355,江洋哥哥！！！！冲啊！,0.9027
356,这是一场最热血的地球保卫战，这是一场最孤独的科幻爱情，这是上海，最后的堡垒。0809看上海堡垒，殊死一争，为生存而战。,1.0
357,鹿晗你要知道，你很棒你最棒你是我们的宝贝，期待江洋,0.9988
358,    很棒的大家庭,0.9719
359,卧槽！！！！！江洋！（！！）,0.1089
360,百度鹿晗吧，陪你闯天下[加油][加油][加油],0.998
363,真棒,0.5
366,一鹿伴晗,0.4738
368,我tm就是哭了 我同学也看哭了 你自己没看当然乱说,0.7769
369,没看过就不乱评价吧,0.1026
370,一起一直陪你闯天下,0.577
371,我不知道打9分10分的人是啥心态,0.3942
